               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              1.1559,               0.687,              1.0155,             0.73892,             0.70277,             0.74276,             0.50473,              1.1043,             0.63877,              1.0137,            0.006436,            0.006436,            0.006436
                  38,               1.157,             0.68499,              1.0132,             0.72727,             0.71614,             0.74305,             0.50619,              1.1034,             0.64184,              1.0122,            0.006337,            0.006337,            0.006337
                  39,              1.1567,             0.68397,              1.0092,             0.72536,               0.715,             0.74319,             0.50749,               1.102,             0.63838,              1.0111,            0.006238,            0.006238,            0.006238
                  40,              1.1492,             0.67735,              1.0079,             0.73152,             0.71104,             0.74582,             0.50926,              1.1019,             0.63571,              1.0107,            0.006139,            0.006139,            0.006139
                  41,              1.1543,             0.67839,              1.0079,             0.73668,             0.71343,             0.74864,             0.51225,              1.1022,             0.63408,                1.01,             0.00604,             0.00604,             0.00604
                  42,              1.1468,             0.67638,              1.0069,             0.74665,             0.71131,             0.75083,             0.51345,              1.1002,             0.63231,               1.009,            0.005941,            0.005941,            0.005941
                  43,              1.1441,             0.67198,              1.0048,             0.74636,             0.70429,             0.75281,             0.51465,              1.0997,             0.63115,              1.0083,            0.005842,            0.005842,            0.005842
                  44,              1.1402,             0.67059,              1.0041,             0.74847,             0.70326,             0.75267,             0.51561,              1.0992,             0.63236,              1.0078,            0.005743,            0.005743,            0.005743
                  45,              1.1396,             0.66413,              1.0025,             0.74426,             0.70713,             0.75444,             0.51697,              1.0983,             0.63066,              1.0072,            0.005644,            0.005644,            0.005644
                  46,              1.1346,             0.66384,             0.99956,             0.73494,             0.71634,             0.75592,             0.51903,              1.0977,             0.62938,              1.0069,            0.005545,            0.005545,            0.005545
                  47,               1.138,             0.66047,              1.0012,             0.74096,              0.7141,             0.75587,             0.51859,              1.0962,             0.62909,              1.0062,            0.005446,            0.005446,            0.005446
                  48,               1.132,             0.65513,             0.99975,             0.74359,             0.71675,             0.75738,             0.52045,              1.0955,             0.62703,              1.0055,            0.005347,            0.005347,            0.005347
                  49,              1.1325,             0.65686,              1.0018,             0.74085,             0.72111,             0.75832,             0.52109,              1.0946,             0.62583,              1.0048,            0.005248,            0.005248,            0.005248
                  50,              1.1279,             0.65278,             0.99747,             0.74395,              0.7202,             0.75945,             0.52211,              1.0938,              0.6243,              1.0043,            0.005149,            0.005149,            0.005149
                  51,              1.1286,             0.64938,             0.99593,             0.74613,             0.72309,             0.76014,              0.5226,              1.0936,             0.62333,              1.0041,             0.00505,             0.00505,             0.00505
                  52,              1.1222,             0.64435,             0.99359,             0.74804,             0.71934,             0.76045,             0.52321,               1.093,             0.62242,              1.0038,            0.004951,            0.004951,            0.004951
                  53,              1.1245,             0.64222,             0.99624,             0.75024,             0.71938,             0.76115,             0.52421,              1.0931,             0.62138,              1.0038,            0.004852,            0.004852,            0.004852
                  54,              1.1182,             0.64255,             0.99289,             0.75078,             0.71755,             0.76203,             0.52457,              1.0929,             0.62095,              1.0036,            0.004753,            0.004753,            0.004753
                  55,              1.1175,             0.63701,             0.99424,             0.75791,             0.71241,             0.76279,             0.52539,              1.0925,             0.62054,              1.0033,            0.004654,            0.004654,            0.004654
                  56,              1.1141,             0.63428,             0.99232,             0.75764,             0.71426,             0.76423,             0.52638,               1.092,             0.62031,              1.0031,            0.004555,            0.004555,            0.004555
                  57,              1.1127,             0.63376,              0.9931,             0.75807,             0.71501,             0.76484,              0.5266,              1.0915,             0.61967,              1.0028,            0.004456,            0.004456,            0.004456
                  58,              1.1114,             0.63238,             0.99145,             0.75529,             0.72067,             0.76505,              0.5268,               1.091,             0.61931,              1.0026,            0.004357,            0.004357,            0.004357
                  59,              1.1093,             0.62958,             0.98853,             0.75989,             0.71883,             0.76648,             0.52834,              1.0907,             0.61843,              1.0023,            0.004258,            0.004258,            0.004258
